status,reason,slug,name,category,scheme_code,amc_id,amc_name,holder_slug,holder_rows,in_parsed_json
OK,holdings_linked,nippon-india-flexi-cap-fund-direct-plan,Nippon India Flexi Cap Fund - Direct Plan,Flexi Cap,149094,20,Nippon India,nippon-india-flexi-cap-fund-direct-plan,,no
OK,holdings_linked,pgim-india-flexi-cap-fund-direct-plan,PGIM India Flexi Cap Fund - Direct Plan,Flexi Cap,133839,30,PGIM India,pgim-india-flexi-cap-fund-direct-plan,,yes
OK,holdings_linked,parag-parikh-flexi-cap-fund-direct-plan,Parag Parikh Flexi Cap Fund - Direct Plan,Flexi Cap,122639,27,Parag Parikh,parag-parikh-flexi-cap-fund-direct-plan,,no
OK,holdings_linked,sbi-flexicap-fund-direct-plan,SBI Flexicap Fund - DIRECT PLAN,Flexi Cap,119718,3,SBI,sbi-flexicap-fund-direct-plan,,yes
MISSING,amc_no_holdings_in_db,samco-flexi-cap-fund-direct-plan,Samco Flexi Cap Fund - Direct Plan,Flexi Cap,149450,31,Samco,,,no
OK,holdings_linked,trustmf-flexi-cap-fund-direct-plan,TRUSTMF Flexi Cap Fund-Direct Plan,Flexi Cap,152584,87,Trust,trustmf-flexi-cap-fund-direct-plan,,yes
OK,holdings_linked,tata-flexi-cap-fund-direct-plan,Tata Flexi Cap Fund-Direct Plan,Flexi Cap,144546,6,Tata,tata-flexi-cap-fund-direct-plan,,yes
OK,holdings_linked,taurus-flexi-cap-fund-direct-plan,Taurus Flexi Cap Fund - Direct Plan,Flexi Cap,118883,86,Taurus,taurus-flexi-cap-fund-direct-plan,,yes
OK,holdings_linked,union-flexi-cap-fund-direct-plan,Union Flexi Cap Fund - Direct Plan,Flexi Cap,119292,26,Union,union-flexi-cap-fund-direct-plan,,yes
OK,holdings_linked,whiteoak-capital-flexi-cap-fund-direct-plan,WhiteOak Capital Flexi Cap Fund Direct Plan,Flexi Cap,150346,16,WhiteOak Capital,whiteoak-capital-flexi-cap-fund,,yes
OK,holdings_linked,quant-flexi-cap-fund-growth-option-direct-plan,quant Flexi Cap Fund,Flexi Cap,120843,15,Quant,quant-flexi-cap-fund-growth-option-direct-plan,,yes
OK,holdings_linked,360-one-focused-fund-direct-plan,360 ONE Focused Fund-Direct Plan,Focused,131580,34,360 ONE,360-one-focused-fund-direct-plan,,yes
OK,holdings_linked,aditya-birla-sun-life-focused-fund-growth-direct-plan,Aditya Birla Sun Life Focused Fund,Focused,119564,7,Aditya Birla Sun Life,aditya-birla-sun-life-focused-fund-growth-direct-plan,,yes
OK,holdings_linked,axis-focused-fund-direct-plan,Axis Focused Fund - Direct Plan,Focused,120468,29,Axis,axis-focused-fund-direct-plan,,yes
OK,holdings_linked,baroda-bnp-paribas-focused-fund-direct-plan,BARODA BNP PARIBAS Focused Fund - Direct Plan,Focused,150264,12,Baroda BNP,baroda-bnp-paribas-focused-fund-direct-plan,,yes
MISSING,amc_has_other_funds_only,bandhan-focused-fund-direct-plan,Bandhan Focused Fund - Direct Plan,Focused,118421,25,Bandhan,bandhan-large-mid-cap-fund-direct-plan; bandhan-midcap-fund; bandhan-multicap-fund,,no
OK,holdings_linked,canara-robeco-focused-fund-direct-plan,Canara Robeco Focused Fund - Direct Plan,Focused,148883,24,Canara Robeco,canara-robeco-focused-fund-direct-plan,,yes
OK,holdings_linked,dsp-focused-fund-direct-plan,DSP Focused Fund - Direct Plan,Focused,119096,19,DSP,dsp-focused-fund-direct-plan,,yes
OK,holdings_linked,edelweiss-focused-fund-direct-plan,Edelweiss Focused Fund - Direct Plan,Focused,150376,22,Edelweiss,edelweiss-focused-fund-direct-plan,,yes
OK,holdings_linked,hdfc-focused-fund-growth-option-direct-plan,HDFC Focused Fund,Focused,118950,9,HDFC,hdfc-focused-fund-growth-option-direct-plan,,yes
OK,holdings_linked,icici-prudential-focused-equity-fund-direct-plan,ICICI Prudential Focused Equity Fund - Direct Plan,Focused,120722,5,ICICI Prudential,icici-prudential-focused-equity-fund-direct-plan,,yes
OK,holdings_linked,iti-focused-fund-direct-plan,ITI Focused Fund - Direct Plan,Focused,151777,14,ITI,iti-focused-fund-direct-plan,,no
OK,holdings_linked,invesco-india-focused-fund-direct-plan,Invesco India Focused Fund - Direct Plan,Focused,148481,2,Invesco India,invesco-india-focused-fund-direct-plan,,yes
OK,holdings_linked,kotak-focused-fund-direct-plan,Kotak Focused Fund- Direct Plan,Focused,147473,1,Kotak,kotak-focused-fund-direct-plan,,yes
OK,holdings_linked,lic-mf-focused-fund-direct-plan,LIC MF Focused Fund-Direct Plan,Focused,152010,4,LIC,lic-mf-focused-fund-direct-plan,,yes
MISSING,amc_has_other_funds_only,mahindra-manulife-focused-fund-direct-plan,Mahindra Manulife Focused Fund - Direct Plan,Focused,148567,28,Mahindra Manulife,mahindra-manulife-innovation-opportunities-fund; mahindra-manulife-consumption-fund-direct-plan,,yes
OK,holdings_linked,sbi-focused-fund-direct-plan,SBI FOCUSED FUND - DIRECT PLAN,Focused,119727,3,SBI,sbi-focused-fund-direct-plan,,yes
OK,holdings_linked,tata-focused-fund-direct-plan,Tata Focused Fund-Direct Plan,Focused,147757,6,Tata,tata-focused-fund-direct-plan,,yes
OK,holdings_linked,uti-focused-fund-direct-plan,UTI Focused Fund - Direct Plan,Focused,149091,8,UTI,uti-focused-fund-direct-plan,,yes
OK,holdings_linked,union-focused-fund-direct-plan,Union Focused Fund - Direct Plan,Focused,147492,26,Union,union-focused-fund-direct-plan,,yes
OK,holdings_linked,quant-focused-fund-growth-option-direct-plan,quant Focused Fund,Focused,120834,15,Quant,quant-focused-fund-growth-option-direct-plan,,yes
